CountryCd	Year	CountryName	FieldEducation	Graduates	YoungAdults
AUS	1998	Australia	Agriculture	2060	4352000
AUS	1998	Australia	Business and administration (ISC 34)	34197	4352000
AUS	1998	Australia	Transport services (ISC 84)	0	4352000
AUS	1998	Australia	Journalism and information (ISC 32)	2866	4352000
AUS	1998	Australia	Computing (ISC 48)	5528	4352000
AUS	1998	Australia	Life sciences (ISC 42)	9162	4352000
AUS	1998	Australia	Environmental protection (ISC 85)	1683	4352000
AUS	1998	Australia	Humanities and Arts	21456	4352000
AUS	1998	Australia	Engineering, manufacturing and construction	11802	4352000
AUS	1998	Australia	Mathematics and statistics (ISC 46)	925	4352000
AUS	1998	Australia	Health and welfare	24155	4352000
AUS	1998	Australia	Law (ISC 38)	4280	4352000
AUS	1998	Australia	Social and behavioural science (ISC 31)	6768	4352000
AUS	1998	Australia	Architecture and building (ISC 58)	4654	4352000
AUS	1998	Australia	Engineering and engineering trades (ISC 52)	6630	4352000
AUS	1999	Australia	Humanities and Arts	21716	5649000
AUS	1999	Australia	Education (ISC 14)	20590	5649000
AUS	1999	Australia	Architecture and building (ISC 58)	4941	5649000
AUS	1999	Australia	Computing (ISC 48)	6041	5649000
AUS	1999	Australia	Social and behavioural science (ISC 31)	7100	5649000
AUS	1999	Australia	Life sciences (ISC 42)	9017	5649000
AUS	1999	Australia	Mathematics and statistics (ISC 46)	788	5649000
AUS	1999	Australia	Transport services (ISC 84)	0	5649000
AUS	1999	Australia	Engineering, manufacturing and construction	12261	5649000
AUS	1999	Australia	Journalism and information (ISC 32)	3070	5649000
AUS	1999	Australia	Engineering and engineering trades (ISC 52)	6782	5649000
AUS	1999	Australia	Health and welfare	24363	5649000
AUS	1999	Australia	Business and administration (ISC 34)	38017	5649000
AUS	1999	Australia	Law (ISC 38)	4609	5649000
AUS	1999	Australia	Environmental protection (ISC 85)	1984	5649000
AUS	1999	Australia	Agriculture	2012	5649000
AUS	2000	Australia	Humanities and Arts	20683	5631000
AUS	2000	Australia	Computing (ISC 48)	6823	5631000
AUS	2000	Australia	Engineering and engineering trades (ISC 52)	6560	5631000
AUS	2000	Australia	Environmental protection (ISC 85)	1766	5631000
AUS	2000	Australia	Journalism and information (ISC 32)	3293	5631000
AUS	2000	Australia	Social and behavioural science (ISC 31)	6652	5631000
AUS	2000	Australia	Life sciences (ISC 42)	8382	5631000
AUS	2000	Australia	Education (ISC 14)	16717	5631000
AUS	2000	Australia	Transport services (ISC 84)	0	5631000
AUS	2000	Australia	Health and welfare	22297	5631000
AUS	2000	Australia	Law (ISC 38)	3805	5631000
AUS	2000	Australia	Engineering, manufacturing and construction	11778	5631000
AUS	2000	Australia	Business and administration (ISC 34)	39773	5631000
AUS	2000	Australia	Mathematics and statistics (ISC 46)	710	5631000
AUS	2000	Australia	Architecture and building (ISC 58)	4669	5631000
AUS	2000	Australia	Agriculture	1855	5631000
AUS	2001	Australia	Business and administration (ISC 34)	45378	5625000
AUS	2001	Australia	Social and behavioural science (ISC 31)	8121	5625000
AUS	2001	Australia	Life sciences (ISC 42)	8770	5625000
AUS	2001	Australia	Mathematics and statistics (ISC 46)	727	5625000
