CountryCd	Year	CountryName	Graduates	YoungAdults
AUS	1998	Australia	136166	4352000
AUS	1999	Australia	163291	5649000
AUS	2000	Australia	155763	5631000
AUS	2001	Australia	173495	5625000
AUS	2002	Australia	184002	5637000
AUS	2003	Australia	197586	5660000
AUS	2004	Australia	219470	5685000
AUS	2005	Australia	235296	5737000
AUS	2006	Australia	243479	5813000
AUS	2007	Australia	249196	5927000
AUS	2008	Australia	251409	6074000
AUS	2010	Australia	274669	6331000
AUS	2011	Australia	289679	6380000
AUT	1998	Austria	7551	2464958
AUT	1999	Austria	17636	2436011
AUT	2000	Austria	18918	2408584
AUT	2001	Austria	20940	2386316
AUT	2002	Austria	21232	2368537
AUT	2003	Austria	22798	2348893
AUT	2004	Austria	25651	2331651
AUT	2005	Austria	27035	2315942
AUT	2006	Austria	29351	2293469
AUT	2007	Austria	31693	2266235
AUT	2008	Austria	38439	2239851
AUT	2010	Austria	48668	2192690
AUT	2011	Austria	54105	2184417
AUT	2012	Austria	59316	2188827
BEL	2000	Belgium	35063	2887353
BEL	2001	Belgium	36978	2866924
BEL	2002	Belgium	37862	2850954
BEL	2003	Belgium	39251	2830512
BEL	2004	Belgium	40649	2804410
BEL	2005	Belgium	42446	2782944
BEL	2006	Belgium	43142	2772510
BEL	2007	Belgium	67857	2772545
BEL	2008	Belgium	61939	2781414
BEL	2010	Belgium	66506	2823406
BEL	2011	Belgium	67734	2857949
BEL	2012	Belgium	69754	2873569
CAN	1998	Canada	151399	9199571
CAN	1999	Canada	153271	9132421
CAN	2000	Canada	157017	9084161
CAN	2004	Canada	178650	8933305
CAN	2005	Canada	211683	8911136
CAN	2006	Canada	215610	8930568
CAN	2007	Canada	202524	9001396
CAN	2008	Canada	225982.54	9099512
CAN	2009	Canada	224082	9226539
CAN	2010	Canada	222711.47	9359113
CAN	2011	Canada	225435	9464514
CAN	2012	Canada	232096	9606909
CHE	1998	Switzerland	24767	2117675
CHE	1999	Switzerland	27707	2100640
CHE	2000	Switzerland	28872	2087503
CHE	2001	Switzerland	28673	2092001
CHE	2003	Switzerland	29630	2080202
CHE	2004	Switzerland	30916	2064803
CHE	2005	Switzerland	34252	2047308
CHE	2006	Switzerland	39681	2031186
CHE	2007	Switzerland	43615	2030058
CHE	2008	Switzerland	46474	2048680
CHE	2009	Switzerland	47791	2052522
CHE	2010	Switzerland	51533	2074122.5
CHE	2011	Switzerland	53281	2110087
CZE	1998	Czech Republic	26084	3006827
CZE	1999	Czech Republic	28021	3049697
CZE	2000	Czech Republic	32849	3086459
CZE	2001	Czech Republic	35394	3088079
CZE	2002	Czech Republic	37739	3095723
CZE	2003	Czech Republic	41892	3104232
CZE	2004	Czech Republic	50099	3103165
CZE	2005	Czech Republic	53956	3110366
CZE	2006	Czech Republic	63852	3126281
CZE	2007	Czech Republic	75040	3156765
CZE	2008	Czech Republic	86026	3207931
CZE	2009	Czech Republic	93426	3231896
CZE	2010	Czech Republic	99525	3227547
CZE	2011	Czech Republic	102664	3165982
CZE	2012	Czech Republic	103698	3138998
DEU	1998	Germany	236586	24370241
DEU	1999	Germany	235302	24012386
DEU	2000	Germany	227508	23668883
DEU	2001	Germany	220530	23343072
DEU	2002	Germany	221101	23006866
DEU	2003	Germany	228225	22595705
DEU	2004	Germany	241873	22112788
DEU	2005	Germany	262926	21631070
DEU	2006	Germany	330781	21177803
DEU	2007	Germany	357942	20765490
DEU	2008	Germany	388439	20387910
DEU	2009	Germany	426346	20044224
DEU	2010	Germany	455452	19822096
DEU	2011	Germany	494164	19717296
DEU	2012	Germany	523430	19701954
DNK	1999	Denmark	13138	1545030
DNK	2000	Denmark	15480	1533684
DNK	2001	Denmark	34568	1518395
DNK	2002	Denmark	34744	1500295
DNK	2003	Denmark	38259	1477213
DNK	2004	Denmark	41697	1450126
DNK	2005	Denmark	44946	1423963
DNK	2006	Denmark	43237	1399616
DNK	2007	Denmark	46874	1382874
DNK	2008	Denmark	45777	1378601
DNK	2010	Denmark	50060	1379825
DNK	2011	Denmark	52923	1380543
DNK	2012	Denmark	54492	1380789
ESP	1998	Spain	223185	12824078
ESP	1999	Spain	244967	12926058
ESP	2000	Spain	226870	13078374
ESP	2001	Spain	233360	13262907
ESP	2002	Spain	234345	13462203
ESP	2003	Spain	233573	13661755
ESP	2004	Spain	226106	13827330
ESP	2005	Spain	220472	13981805
ESP	2006	Spain	217623	14108834
ESP	2007	Spain	211299	14231317
ESP	2008	Spain	225796	14280489
ESP	2009	Spain	238938	14118396
ESP	2010	Spain	263827	13832972
ESP	2011	Spain	311333	13507940
ESP	2012	Spain	305497	13108379
FIN	1998	Finland	26672	1387000
FIN	1999	Finland	28544	1377000
FIN	2000	Finland	32712	1365000
FIN	2001	Finland	35172	1354000
FIN	2002	Finland	39280	1345000
FIN	2003	Finland	42478	1338000
FIN	2004	Finland	43537	1330000
FIN	2005	Finland	44001	1326000
FIN	2006	Finland	45254	1318000
FIN	2007	Finland	48279	1313000
FIN	2008	Finland	64052	1311000
FIN	2009	Finland	50347	1315000
FIN	2010	Finland	59046	1322000
FIN	2011	Finland	57103	1333000
FIN	2012	Finland	59675	1347000
FRA	1998	France	155787	16626416
FRA	1999	France	162035	16524377
FRA	2000	France	370806	16469302
FRA	2001	France	375667.007	16442258
FRA	2002	France	399579	16420480
FRA	2003	France	430847	16370460
FRA	2004	France	431016	16294896
FRA	2005	France	472256	16243494
FRA	2006	France	445109	16203953
FRA	2007	France	423141	16156420
FRA	2008	France	425716	16106926
FRA	2009	France	424679	16048252
FRA	2010	France	0	15972959
FRA	2011	France	0	15876389
FRA	2012	France	0	15760081
GBR	1998	United Kingdom	247458.43	16811000
GBR	1999	United Kingdom	253702.381	16762000
GBR	2000	United Kingdom	371010.931	16758000
GBR	2001	United Kingdom	439804.692	16723000
GBR	2003	United Kingdom	469383.87022772	16514000
GBR	2005	United Kingdom	509385.41	16314000
GBR	2006	United Kingdom	525941.12	16328000
GBR	2007	United Kingdom	535236.38	16348000
GBR	2008	United Kingdom	549577.25	16384000
GBR	2009	United Kingdom	551707.71	16373000
GBR	2010	United Kingdom	592818.9	16508000
GBR	2011	United Kingdom	637897.99	16923000
GBR	2012	United Kingdom	670591	16926300
GRC	2001	Greece	0	3299000
GRC	2002	Greece	0	3313000
GRC	2003	Greece	0	3326000
GRC	2004	Greece	34438	3336000
GRC	2005	Greece	42409	3333000
GRC	2006	Greece	11434	3320000
GRC	2007	Greece	43498	3291000
GRC	2008	Greece	49372	3253000
GRC	2010	Greece	47868	3138000
GRC	2011	Greece	47974	3069000
GRC	2012	Greece	49628	2997000
HUN	1998	Hungary	46220	2866595
HUN	1999	Hungary	51818	2885944
HUN	2000	Hungary	60975	2902581
HUN	2001	Hungary	55061	2918589
HUN	2002	Hungary	60242	2934727
HUN	2003	Hungary	63521	2947046
HUN	2004	Hungary	71700	2959137
HUN	2005	Hungary	68506	2974244
HUN	2006	Hungary	64775	2987005
HUN	2007	Hungary	62123	2985810
HUN	2008	Hungary	58255	2973693
HUN	2009	Hungary	63608	2960785
HUN	2010	Hungary	64159	2946706
HUN	2011	Hungary	60017	2880036
HUN	2012	Hungary	61317	2812017
IRL	1998	Ireland	23842	1106500
IRL	1999	Ireland	24891	1129000
IRL	2000	Ireland	28020	1159000
IRL	2001	Ireland	27460	1192100
IRL	2002	Ireland	29750	1236600
IRL	2003	Ireland	35971	1263900
IRL	2004	Ireland	37254	1290100
IRL	2005	Ireland	37182	1332600
IRL	2006	Ireland	21519	1391000
IRL	2007	Ireland	24679	1468100
IRL	2008	Ireland	22847	1500000
IRL	2009	Ireland	42965	1485800
IRL	2010	Ireland	43118	1448800
IRL	2011	Ireland	45414	1418000
IRL	2012	Ireland	45951	1375500
ISL	1998	Iceland	1077	82461
ISL	1999	Iceland	1288	83184
ISL	2000	Iceland	1599	84292
ISL	2001	Iceland	1797	85195
ISL	2002	Iceland	1948	85324
ISL	2003	Iceland	2266	84755
ISL	2004	Iceland	2667	84613
ISL	2005	Iceland	2838	84644
ISL	2006	Iceland	3338	87509
ISL	2007	Iceland	3547	89975
ISL	2008	Iceland	3577	94147
ISL	2009	Iceland	3528	92793
ISL	2010	Iceland	4268	91163
ITA	1998	Italy	185024	17397991
ITA	1999	Italy	198337	17274629
ITA	2000	Italy	211698	17104878
ITA	2001	Italy	221501	16911184
ITA	2002	Italy	236909	16743462
ITA	2003	Italy	266025	16681845
ITA	2004	Italy	356274	16647300
ITA	2005	Italy	413548	16492024
ITA	2006	Italy	412581	16247567
ITA	2007	Italy	431258	16057599
ITA	2008	Italy	252414	15927262
ITA	2009	Italy	245959	15748699
ITA	2010	Italy	232756	15547218
ITA	2011	Italy	401562	15456230
ITA	2012	Italy	382676	15267808
JPN	1998	Japan	322766	35336000
JPN	1999	Japan	326511	35379000
JPN	2000	Japan	329941	35171000
JPN	2001	Japan	340807	35243000
JPN	2002	Japan	345483	35197000
JPN	2003	Japan	346258	35134000
JPN	2004	Japan	343701	34960000
JPN	2005	Japan	347664	34262000
JPN	2006	Japan	351621	34243000
JPN	2007	Japan	356748	33822000
JPN	2008	Japan	357334	33340000
JPN	2009	Japan	360533	32721000
JPN	2010	Japan	349111	32201000
JPN	2011	Japan	354311	31394000
JPN	2012	Japan	364304	30573000
KOR	1998	Korea	260732	16899376
KOR	1999	Korea	272363	16778364
KOR	2000	Korea	289656	16728366
KOR	2001	Korea	322716	16705500
KOR	2002	Korea	330980	16633386
KOR	2003	Korea	348031	16537558
KOR	2004	Korea	358946	16366968
KOR	2005	Korea	364221	16121080
KOR	2006	Korea	362208	15966616
KOR	2007	Korea	371653	15781329
KOR	2008	Korea	459833	15594878
KOR	2009	Korea	456293	15358917
KOR	2010	Korea	453926	15129799
KOR	2011	Korea	475071	15005415
KOR	2012	Korea	480849	14829521
LUX	1998	Luxembourg	0	129582
LUX	1999	Luxembourg	0	129995
LUX	2000	Luxembourg	90	132004
LUX	2002	Luxembourg	0	133373
LUX	2003	Luxembourg	0	133393
LUX	2004	Luxembourg	0	133686
LUX	2005	Luxembourg	0	134083
LUX	2006	Luxembourg	0	134957
LUX	2007	Luxembourg	0	136015
LUX	2008	Luxembourg	293	138040
LUX	2009	Luxembourg	0	140322
LUX	2010	Luxembourg	0	142434
LUX	2011	Luxembourg	0	145987
LUX	2012	Luxembourg	864	150488
MEX	1998	Mexico	115774	31877954
MEX	1999	Mexico	295206	32344760
MEX	2000	Mexico	312135	32772978
MEX	2001	Mexico	321170	33196215
MEX	2002	Mexico	347305	33622573
MEX	2003	Mexico	367139	34023556
MEX	2004	Mexico	344772	34361749
MEX	2005	Mexico	374919	34668600
MEX	2006	Mexico	409923	34989233
MEX	2007	Mexico	417506	35343807
MEX	2008	Mexico	414355	35753393
MEX	2009	Mexico	445566	36190659
MEX	2010	Mexico	504643	36564165
MEX	2011	Mexico	542776	36936174
MEX	2012	Mexico	582085	37285446
NLD	1998	Netherlands	89522	4829135
NLD	1999	Netherlands	81249	4785575.5
NLD	2000	Netherlands	79656	4744304.5
NLD	2001	Netherlands	84116	4706416.5
NLD	2002	Netherlands	88928	4654950
NLD	2003	Netherlands	94822	4586368.5
NLD	2004	Netherlands	101847	4508175.5
NLD	2005	Netherlands	110512	4428812
NLD	2006	Netherlands	119871	4354488.5
NLD	2007	Netherlands	124569	4293100.5
NLD	2008	Netherlands	124799	4250462.5
NLD	2009	Netherlands	127058	4213317
NLD	2010	Netherlands	130858	4177687
NLD	2011	Netherlands	138840	4152247
NLD	2012	Netherlands	152640	4131126
NOR	1998	Norway	34116	1294411
NOR	1999	Norway	24886	1291704
NOR	2000	Norway	25602	1288491
NOR	2001	Norway	28345	1282929
NOR	2003	Norway	27574	1273166
NOR	2004	Norway	30705	1264992
NOR	2005	Norway	31550	1258017
NOR	2006	Norway	33535	1254748
NOR	2007	Norway	35769	1259507
NOR	2008	Norway	35689	1271934
NOR	2009	Norway	35405	1284540
NOR	2010	Norway	38814	1299358
NOR	2011	Norway	41009	1320000
NOR	2012	Norway	40635	1340000
NZL	1998	New Zealand	24406	1158170
NZL	1999	New Zealand	26486	1142220
NZL	2000	New Zealand	28003	1127040
NZL	2001	New Zealand	31911	1111190
NZL	2002	New Zealand	31241	1118890
NZL	2003	New Zealand	31646	1135370
NZL	2004	New Zealand	39241	1142960
NZL	2005	New Zealand	40775	1145990
NZL	2006	New Zealand	43422	1150120
NZL	2007	New Zealand	42276	1151450
NZL	2008	New Zealand	45982	1154000
NZL	2009	New Zealand	47943	1162000
NZL	2011	New Zealand	53340	1181000
NZL	2012	New Zealand	58251	1185000
POL	1998	Poland	185520	11099000
POL	1999	Poland	231179	10915000
POL	2000	Poland	276866	10808055
POL	2001	Poland	324933	10880788
POL	2002	Poland	361740	10976341
POL	2003	Poland	386569	11143914
POL	2004	Poland	400794	11315562
POL	2005	Poland	503045	11481127
POL	2006	Poland	503888	11612887
POL	2007	Poland	532546	11715887
POL	2008	Poland	556057	11801125
POL	2009	Poland	574087	11875603
POL	2010	Poland	623993	11994194
POL	2011	Poland	652235	12016879
POL	2012	Poland	640249	11999703
PRT	2000	Portugal	56934	3109623
PRT	2003	Portugal	71529	3129613
PRT	2004	Portugal	67521	3110614
PRT	2005	Portugal	69225	3081067
PRT	2006	Portugal	72921	3046475
PRT	2007	Portugal	96111	3011041
PRT	2008	Portugal	106794	2971612
PRT	2009	Portugal	84603	2928541
PRT	2010	Portugal	86798	2881718
PRT	2011	Portugal	95708	2827295
PRT	2012	Portugal	103891	2760658
SVK	1999	Slovak Republic	20874	1646984
SVK	2000	Slovak Republic	21996	1652648
SVK	2001	Slovak Republic	26374	1656894
SVK	2002	Slovak Republic	27947	1668894
SVK	2003	Slovak Republic	32253	1677370
SVK	2004	Slovak Republic	35157	1683840
SVK	2005	Slovak Republic	37949	1691162
SVK	2006	Slovak Republic	42189	1699564
SVK	2007	Slovak Republic	49132	1708635
SVK	2008	Slovak Republic	68574	1718346
